Entity,Code,Year,Share of global forest area
Jordan,JOR,2020,0.0024021086463590297
Kazakhstan,KAZ,2020,0.0851129917784986
Kenya,KEN,2020,0.08896646678749365
Kyrgyzstan,KGZ,2020,0.03240703252561786
Land Locked Developing Countries,,2020,6.850883582159227
Laos,LAO,2020,0.40886352862206443
Latvia,LVA,2020,0.08403167333246067
Least Developed Countries,,2020,13.196690931010771
Lebanon,LBN,2020,0.0035312228952065618
Liberia,LBR,2020,0.18767095884226798
Libya,LBY,2020,0.005346231551383687
Lithuania,LTU,2020,0.05422606287832025
Low Income Food Deficit Countries,,2020,13.384828268485608
Luxembourg,LUX,2020,0.002185302942892779
Madagascar,MDG,2020,0.30623337511384546
Malawi,MWI,2020,0.055228789256851665
Malaysia,MYS,2020,0.4709128282138703
Mali,MLI,2020,0.3275737083280991
Martinique,MTQ,2020,0.0012882693448011658
Mauritania,MRT,2020,0.00770645727775492
Mexico,MEX,2020,1.6184565473365036
Micronesia,,2020,0.0015871162974199868
Moldova,MDA,2020,0.00952220504428477
Monaco,MCO,2020,0
Mongolia,MNG,2020,0.34917494749686495
Montenegro,MNE,2020,0.02037480872347608
Morocco,MAR,2020,0.1414777936474899
Mozambique,MOZ,2020,0.9052564471358059
Myanmar,MMR,2020,0.7032361535356005
Namibia,NAM,2020,0.16356265735705602
Nauru,NRU,2020,0
Nepal,NPL,2020,0.1468866032087377
Net Food Importing Developing Countries,,2020,18.39176061853544
Netherlands,NLD,2020,0.009103375844406784
New Caledonia,NCL,2020,0.020646308593044043
New Zealand,NZL,2020,0.243723856142409
Nicaragua,NIC,2020,0.08395135667413114
Niger,NER,2020,0.026600581594603535
Nigeria,NGA,2020,0.5328234214294814
North Korea,PRK,2020,0.1485633982289551
North Macedonia,MKD,2020,0.02467372090504723
Norway,NOR,2020,0.3000788032066973
Pakistan,PAK,2020,0.09179504210737548
Palau,PLW,2020,0.0010202186568792555
Panama,PAN,2020,0.10381642562434396
Papua New Guinea,PNG,2020,0.8833787806951207
Paraguay,PRY,2020,0.39671156894278103
Peru,PER,2020,1.7820041761163874
Philippines,PHL,2020,0.17710537635005189
Poland,POL,2020,0.2336327824966429
Portugal,PRT,2020,0.08159778294093444
Puerto Rico,PRI,2020,0.012228088045614127
Qatar,QAT,2020,0
Romania,ROU,2020,0.17071108631850296
Russia,RUS,2020,20.086841475249383
Rwanda,RWA,2020,0.006799815245077869
Samoa,WSM,2020,0.003983065690839634
Sao Tome and Principe,STP,2020,0.0012786609102157297
Saudi Arabia,SAU,2020,0.02407036048710536
Senegal,SEN,2020,0.19877535278162123
Serbia,SRB,2020,0.06707796006163501
Sierra Leone,SLE,2020,0.06245186836392388
Slovakia,SVK,2020,0.04744842094382416
Slovenia,SVN,2020,0.030496432263821514
Small Island Developing States,,2020,2.1492395314522263
Solomon Islands,SLB,2020,0.062158441553891705
Somalia,SOM,2020,0.1473293303100205
South Korea,KOR,2020,0.15489289291958175
South Sudan,SSD,2020,0.17632709314863154
Southeastern Asia,,2020,5.111597274359101
Southern Africa,,2020,0.9725650096274913
Southern Asia,,2020,2.4767725887109253
Southern Europe,,2020,1.1351367663716594
Spain,ESP,2020,0.4575627706528183
Sri Lanka,LKA,2020,0.0520584985838929
Sudan,SDN,2020,0.4523244492129326
Suriname,SUR,2020,0.37439117540081296
Sweden,SWE,2020,0.6893435889756477
Switzerland,CHE,2020,0.031267077991597
Syria,SYR,2020,0.012862491098370487
Tajikistan,TJK,2020,0.010441165582840584
Tanzania,TZA,2020,1.1270201028481417
Thailand,THA,2020,0.4896113346573641
Timor,TLS,2020,0.022693151529859512
Togo,TGO,2020,0.0297927992080265
Tokelau,TKL,2020,0
Trinidad and Tobago,TTO,2020,0.005621919712950431
Tunisia,TUN,2020,0.017313167272368014
Turkey,TUR,2020,0.5474432705765163
Turkmenistan,TKM,2020,0.10167694752332015
Uganda,UGA,2020,0.05759886978792591
Ukraine,UKR,2020,0.2387326439304513
United Arab Emirates,ARE,2020,0.007817323830663797
United Kingdom,GBR,2020,0.07859206750651596
United States,USA,2020,7.632423057423546
Uruguay,URY,2020,0.05003777087954041
Uzbekistan,UZB,2020,0.09090219680128264
Vanuatu,VUT,2020,0.010896950300354862
Venezuela,VEN,2020,1.138991226861125
Vietnam,VNM,2020,0.3607619804965482
Western Sahara,ESH,2020,0.016385337409579488
Yemen,YEM,2020,0.013525719454883154
Zambia,ZMB,2020,1.1040837840122355
Zimbabwe,ZWE,2020,0.4297823225651468
